codeenseignant,nomenseignant,prenomenseignant,telephone,email,photo,codedept
EnsGI001,NomEns001,PreEns001,(212) 066111 2233,EnsGI001@gmail.com,,GI
EnsGI003,NomEns003,PreEns003,(212) 066111 2235,EnsGI003@gmail.com,,GI
EnsGI004,NomEns004,PreEns004,(212) 066111 2236,EnsGI004@gmail.com,,GI
EnsGI005,NomEns005,PreEns005,(212) 066111 2237,EnsGI005@gmail.com,,GI
EnsGI006,NomEns006,PreEns006,(212) 066111 2238,EnsGI006@gmail.com,,GI
EnsGI007,NomEns007,PreEns007,(212) 066111 2239,EnsGI007@gmail.com,,GI
EnsGI008,NomEns008,PreEns008,(212) 066111 2240,EnsGI008@gmail.com,,GI
EnsGI009,NomEns009,PreEns009,(212) 066111 2241,EnsGI009@gmail.com,,GI
EnsGI010,NomEns010,PreEns010,(212) 066111 2242,EnsGI010@gmail.com,,GI
EnsGI011,NomEns011,PreEns011,(212) 066111 2243,EnsGI011@gmail.com,,GI
EnsGI012,NomEns012,PreEns012,(212) 066111 2244,EnsGI012@gmail.com,,GI
EnsGI013,NomEns013,PreEns013,(212) 066111 2245,EnsGI013@gmail.com,,GI
EnsGI014,NomEns014,PreEns014,(212) 066111 2246,EnsGI014@gmail.com,,GI
EnsGI015,NomEns015,PreEns015,(212) 066111 2247,EnsGI015@gmail.com,,GI
EnsGI016,NomEns016,PreEns016,(212) 066111 2248,EnsGI016@gmail.com,,GI
EnsGI017,NomEns017,PreEns017,(212) 066111 2249,EnsGI017@gmail.com,,GI
EnsGI018,NomEns018,PreEns018,(212) 066111 2250,EnsGI018@gmail.com,,GI
EnsGI019,NomEns019,PreEns019,(212) 066111 2251,EnsGI019@gmail.com,,GI
EnsGE020,NomEns020,PreEns020,(212) 066111 2252,EnsGE020@gmail.com,,GE
EnsGM045,NomEns045,PreEns045,(212) 066111 2253,EnsGM045@gmail.com,,GM
EnsGP070,NomEns070,PreEns070,(212) 066111 2254,EnsGP070@gmail.com,,GP
EnsTM100,NomEns100,PreEns100,(212) 066111 2255,EnsTM100@gmail.com,,TM
EnsGI002,NomEns002,PreEns002,(212) 066111 2234,EnsGi002@gmail.com,,GI
EnsGE011,NomEnsGE011,PreEnsGE011,,,,
